month,total_tasks,delayed_tasks,avg_estimated_hours
2005-12-01,4,0,3.0
2006-05-01,4,0,3.0
2006-11-01,1,0,0.5
2007-02-01,12,0,1.1666666666666667
2007-03-01,3,0,1.1666666666666667
2007-04-01,1,0,0.5
2007-05-01,2,0,0.5
2007-06-01,2,0,0.5
2007-10-01,4,0,2.75
2007-11-01,15,0,1.46
2007-12-01,3,0,3.5
2008-01-01,13,0,1.6538461538461537
2008-02-01,15,0,0.8333333333333333
2008-03-01,17,0,1.7352941176470589
2008-04-01,4,0,0.5
2008-06-01,18,0,0.9499999999999998
2008-08-01,20,0,1.0399999999999998
2008-09-01,10,0,1.0399999999999998
2008-10-01,414,0,2.5507246376811614
2008-11-01,435,0,2.482068965517243
2008-12-01,453,0,2.4216335540838854
2009-01-01,305,0,2.8672131147541005
2009-02-01,403,0,2.5521091811414425
2009-03-01,6,0,1.0
2009-04-01,581,0,2.9826161790017167
2009-05-01,305,0,2.9029508196721334
2009-07-01,3,0,0.6666666666666666
2009-08-01,5,0,1.0399999999999998
2009-09-01,16,0,1.03125
2009-10-01,307,0,2.945602605863194
2009-11-01,539,0,2.4235621521335826
2009-12-01,30,0,1.0066666666666668
2010-01-01,284,0,3.0528169014084527
2010-02-01,325,0,3.1276923076923087
2010-03-01,316,0,2.846202531645572
2010-04-01,32,0,1.0
2010-05-01,594,0,3.1373737373737325
2010-06-01,338,0,3.053550295857989
2010-07-01,1,0,0.5
2010-09-01,3,0,2.0
2010-10-01,7,0,1.8571428571428572
2010-11-01,292,0,3.0023972602739746
2010-12-01,333,0,2.8498498498498517
2011-01-01,14,0,1.1214285714285714
2011-02-01,579,0,3.022970639032811
2011-03-01,299,0,2.9816053511705705
2011-04-01,12,0,0.9916666666666666
2011-05-01,8,0,0.5250000000000001
2011-06-01,597,0,3.2882747068676697
2011-07-01,14,0,0.7999999999999997
2011-08-01,22,0,0.5818181818181816
2011-09-01,16,0,0.20000000000000004
2011-10-01,108,0,1.1777777777777785
2011-11-01,355,0,3.032112676056338
2011-12-01,71,0,1.5943661971830985
2012-01-01,49,0,1.1836734693877562
2012-02-01,613,0,1.9349102773246343
2012-03-01,101,0,1.5792079207920793
2012-04-01,8,0,0.19999999999999998
2012-05-01,113,0,1.2247787610619467
2012-06-01,4,0,0.2
2012-07-01,17,0,0.7764705882352941
2012-08-01,22,0,0.2727272727272728
2012-09-01,12,0,1.0333333333333332
2012-10-01,331,0,2.679456193353476
2012-11-01,258,0,2.146511627906977
2012-12-01,135,0,2.2725925925925927
2013-01-01,59,0,2.223728813559322
2013-02-01,23,0,1.3869565217391306
2013-03-01,31,0,1.2870967741935486
2013-04-01,138,0,1.9246376811594201
2013-05-01,387,0,2.903617571059431
2013-06-01,123,0,1.8016260162601625
2013-09-01,28,0,1.6214285714285717
2013-10-01,1029,0,1.6610301263362481
2013-11-01,1636,0,1.948716381418088
2013-12-01,640,0,1.7443750000000016
2014-01-01,950,0,1.8746315789473662
2014-02-01,619,0,1.775282714054928
2014-03-01,1764,0,2.2706916099773173
2014-04-01,995,0,2.106532663316578
2014-05-01,549,0,1.9695810564663034
2014-06-01,2925,0,2.1360341880341993
2014-07-01,15,0,2.246666666666667
2014-08-01,1220,0,2.07663934426229
2014-09-01,21,0,3.619047619047619
2014-10-01,1436,0,1.9062674094707481
2014-11-01,905,0,2.021767955801102
2014-12-01,1840,0,2.0133152173912987
2015-01-01,827,0,1.7524788391777528
2015-02-01,279,0,1.4516129032258072
2015-03-01,1237,0,1.6790622473726757
2015-04-01,1411,0,1.7113394755492521
2015-05-01,1046,0,1.753537284894835
2015-06-01,13,0,1.0769230769230769
2015-07-01,10,0,1.0399999999999998
2015-08-01,48,0,2.4854166666666666
2015-09-01,4,0,1.3
2015-10-01,1006,0,1.7108349900596396
2015-11-01,2099,0,1.8624583134826054
2015-12-01,1351,0,1.9246484085862319
2016-01-01,313,0,1.691054313099042
2016-02-01,584,0,2.063184931506849
2016-03-01,899,0,1.7367074527252504
2016-04-01,915,0,1.792349726775957
2016-05-01,591,0,1.6969543147208126
2016-06-01,268,0,1.4820895522388067
2016-07-01,79,0,2.3468354430379743
2016-08-01,46,0,2.443478260869565
2016-09-01,56,0,2.425
2016-10-01,1042,0,1.5928982725527814
2016-11-01,2071,0,1.7639304683727632
2016-12-01,2169,0,1.5980175195942825
2017-01-01,2000,0,1.7828499999999967
2017-02-01,2850,0,1.6115789473684201
2017-03-01,1185,0,1.6486919831223625
2017-04-01,1422,0,1.951547116736986
2017-05-01,1883,0,1.6882634094529987
2017-06-01,2430,0,1.592633744855962
2017-07-01,148,0,1.6722972972972971
2017-08-01,206,0,1.339320388349513
2017-09-01,114,0,0.9956140350877195
2017-10-01,2411,0,1.55487349647449
2017-11-01,1398,0,1.3693133047210302
2017-12-01,1859,0,1.477945131791284
2018-01-01,2953,0,1.6671520487639637
2018-02-01,1659,0,1.365340566606387
2018-03-01,2122,0,1.2366635249764375
2018-04-01,2104,0,1.432414448669201
2018-05-01,2971,0,1.4074049141703056
2018-06-01,830,0,0.9380722891566305
2018-07-01,1266,0,0.6469194312796308
2018-08-01,3519,0,0.4865018471156755
2018-09-01,2956,0,0.48775372124494343
